No.,Material Code,Material Description,Design Speed,Actual Speed (m/p),Actual Speed (m/s),Output (km/shift),Output (kg/shift),Factory,Machine Type
1,52000106,Cm 0.67,1200,600,10.00,234.00,733.43,đà nẵng,DAP 250/17
2,52000108,Cm 0.85,660,660,11.00,257.40,1298.49,Đà Nẵng,13-DHT
3,52000111,Cm 1.04,660,600,10.00,234.00,1767.15,Đà Nẵng,13-DHT
4,52000113,Cm 1.20,540,480,8.00,187.20,1882.17,Đà Nẵng,13-DHT
5,52000115,Cm 1.35,418,360,6.00,140.40,1786.60,Đà Nẵng,13-DHT
6,52000117,Cm 1.40,418,360,6.00,140.40,1921.39,Đà Nẵng,13-DHT
7,52000051,Cc 1.04,660,600,10.00,234.00,1767.15,Đà Nẵng,13-DHT
8,52000055,Cc 1.35,418,360,6.00,140.40,1786.60,Đà Nẵng,13-DHT
9,52000057,Cc 1.40,418,360,6.00,140.40,1921.39,Đà Nẵng,13-DHT
10,52000061,Cc 1.70,919,860,14.33,335.40,6767.88,Đà Nẵng,DA 13
11,52000063,Cc 1.78,856,800,13.33,312.00,6902.18,Đà Nẵng,DA 13
12,52000066,Cc 2.00,661,620,10.33,241.80,6753.17,Đà Nẵng,DA 13
13,52000069,Cc 2.13,661,620,10.33,241.80,7659.62,Đà Nẵng,DA 13
14,52000077,Cc 2.50,500,468,7.80,182.52,7964.93,Đà Nẵng,DA 13
15,52000078,Cc 2.51,500,468,7.80,182.52,8028.78,Đà Nẵng,DA 13
16,52000005,Cc 2.60,470,430,7.17,167.70,7915.37,Đà Nẵng,DA 13
17,52000092,Cc 2.78,380,345,5.75,134.55,7260.47,Đà Nẵng,DA 13
18,52000079,Cc 2.80,380,345,5.75,134.55,7365.32,Đà Nẵng,DA 13
19,52000080,Cc 2.84,380,345,5.75,134.55,7577.26,Đà Nẵng,DA 13
20,52000081,Cc 2.85,380,345,5.75,134.55,7630.71,Đà Nẵng,DA 13
21,52000087,Cc 3.00,362,340,5.67,132.60,8332.55,Đà Nẵng,DA 13
22,52000010,Cc 3.05,375,375,6.25,146.25,9499.20,Đà Nẵng,DA 13
23,52000011,Cc 3.15,326,290,4.83,113.10,7835.66,Đà Nẵng,DA 13
24,52000121,Cm 1.70,856,790,13.17,308.10,6217.00,Đà Nẵng,DA 13
25,52000123,Cm 1.78,856,790,13.17,308.10,6815.90,Đà Nẵng,DA 13
26,52000124,Cm 1.80,778,720,12.00,280.80,6352.34,Đà Nẵng,DA 13
27,52000125,Cm 1.85,778,720,12.00,280.80,6710.15,Đà Nẵng,DA 13
28,52000126,Cm 2.00,598,555,9.25,216.45,6045.18,Đà Nẵng,DA 13
29,52000127,Cm 2.03,598,555,9.25,216.45,6227.90,Đà Nẵng,DA 13
30,52000128,Cm 2.10,598,555,9.25,216.45,6664.81,Đà Nẵng,DA 13
31,52000129,Cm 2.14,598,555,9.25,216.45,6921.13,Đà Nẵng,DA 13
32,52000130,Cm 2.22,598,555,9.25,216.45,7448.27,Đà Nẵng,DA 13
33,52000132,Cm 2.25,470,430,7.17,167.70,5927.75,Đà Nẵng,DA 13
34,52000133,Cm 2.30,470,430,7.17,167.70,6194.13,Đà Nẵng,DA 13
35,52000134,Cm 2.33,470,430,7.17,167.70,6356.77,Đà Nẵng,DA 13
36,52000617,Cm 2.51,470,430,7.17,167.70,7376.87,Đà Nẵng,DA-13
37,52000138,Cm 2.52,470,430,7.17,167.70,7435.77,Đà Nẵng,DA-13
38,52000140,Cm 2.63,470,430,7.17,167.70,8099.09,Đà Nẵng,DA-13
39,52000142,Cm 2.70,380,345,5.75,134.55,6848.62,Đà Nẵng,DA-13
40,52000146,Cm 2.88,380,345,5.75,134.55,7792.20,Đà Nẵng,DA-13
41,52000147,Cm 2.90,380,345,5.75,134.55,7900.80,Đà Nẵng,DA-13
42,52000148,Cm 2.93,380,345,5.75,134.55,8065.12,Đà Nẵng,DA-13
43,52000150,Cm 3.00,362,325,5.42,126.75,7964.93,Đà Nẵng,DA-13
44,52000151,Cm 3.05,326,290,4.83,113.10,7346.05,Đà Nẵng,DA-13
45,52000161,Cm 3.25,326,290,4.83,113.10,8341.05,Đà Nẵng,DA-13
46,52000106,Cm 0.67,1000,900,15.00,351,1100,đà nẵng,WG17-2
47,52000108,Cm 0.85,850,800,13.33,312,1574,đà nẵng,WG17-2
48,52000106,Cm 0.67,896,762,12.70,297.18,931.45,đà nẵng,WG17-1
49,52000108,Cm 0.85,770,600,10.00,234.00,1180.44,đà nẵng,WG17-1
50,52000107,Cm 0.80,720,600,10.00,234.00,1045.65,đà nẵng,WG17-1
51,52000158,Cm 0.97,720,540,9.00,210.60,1383.55,đà nẵng,WG17-1
52,52000104,"Cm 0,52",1200,1000,16.67,420.00,778.65,long thành,WG17-1-X3
53,52000105,"Cm 0,60",1200,800,13.33,336.00,831.48,long thành,WG17-1-X3
54,52000106,"Cm 0,67",1200,950,15.83,399.00,1218.59,long thành,WG17-1-X3
55,52000107,"Cm 0,80",1200,900,15.00,378.00,1669.96,long thành,WG17-1-X3
56,52000108,"Cm 0,85",1200,900,15.00,378.00,1760.29,long thành,WG17-1-X3
57,52000158,"Cm 0,97",1200,850,14.17,357.00,2347.97,long thành,WG17-1-X3
58,52000110,"Cm 1,00",1200,800,13.33,336.00,2325.23,long thành,WG17-1-X3
59,52000111,"Cm 1,04",1200,750,12.50,315.00,2358.70,long thành,WG17-1-X3
60,52000051,"Cc 1,04",1200,700,11.67,294.00,2209.97,long thành,WG17-1-X3
61,52000113,"Cm 1,20",1200,500,8.33,210.00,2082.21,long thành,WG17-1-X3
62,52000053,"Cc 1,20",1200,500,8.33,210.00,2096.22,long thành,WG17-1-X3
63,52000098,Cm 0.425,1800,850,14.17,357.00,450.74,long thành,WG17-1
64,52000104,Cm 0.52,1800,800,13.33,336.00,627.77,long thành,WG17-1
65,52000105,Cm 0.60,1800,800,13.33,336.00,831.48,long thành,WG17-1
66,52000106,Cm 0.67,1800,800,13.33,336.00,1038.64,long thành,WG17-1
67,52000107,Cm 0.80,1800,700,11.67,294.00,1298.86,long thành,WG17-1
68,52000108,Cm 0.85,1800,700,11.67,294.00,1467.38,long thành,WG17-1
69,52000111,Cm 1.04,1800,550,9.17,231.00,1729.71,long thành,WG17-1
70,52000113,Cm 1.20,1800,350,5.83,147.00,1467.35,long thành,WG17-1
71,52000098,Cm 0.425,1800,700,11.67,294.00,371.20,long thành,WG17-2
72,52000104,Cm 0.52,1800,600,10.00,252.00,470.83,long thành,WG17-2
73,52000105,Cm 0.60,1800,600,10.00,252.00,623.61,long thành,WG17-2
74,52000106,Cm 0.67,1800,550,9.17,231.00,714.06,long thành,WG17-2
75,52000107,Cm 0.80,1800,500,8.33,210.00,927.76,long thành,WG17-2
76,52000108,Cm 0.85,1800,500,8.33,210.00,1048.13,long thành,WG17-2
77,52000111,Cm 1.04,1800,550,9.17,231.00,1729.71,long thành,WG17-2
78,52000113,Cm 1.20,1800,350,5.83,147.00,1467.35,long thành,WG17-2
79,52000098,Cm 0.425,1800,850,14.17,357.00,450.74,long thành,WG17-3
80,52000104,Cm 0.52,1800,800,13.33,336.00,627.77,long thành,WG17-3
81,52000105,Cm 0.60,1800,800,13.33,336.00,831.48,long thành,WG17-3
82,52000106,Cm 0.67,1800,800,13.33,336.00,1038.64,long thành,WG17-3
83,52000107,Cm 0.80,1800,700,11.67,294.00,1298.86,long thành,WG17-3
84,52000111,Cm 1.04,1800,550,9.17,231.00,1729.71,long thành,WG17-3
85,52000113,Cm 1.20,1800,350,5.83,147.00,1467.35,long thành,WG17-3
86,52000053,Cc 1.20,1800,450,7.50,182.25,1819.22,long thành,WG17-3
87,52000104,"Cm 0,52",1200,1000,16.67,420.00,778.65,long thành,WG17-3-X3
88,52000105,"Cm 0,60",1200,800,13.33,336.00,831.48,long thành,WG17-3-X3
89,52000106,"Cm 0,67",1200,950,15.83,399.00,1218.59,long thành,WG17-3-X3
90,52000107,"Cm 0,80",1200,900,15.00,378.00,1669.96,long thành,WG17-3-X3
91,52000108,"Cm 0,85",1200,900,15.00,378.00,1760.29,long thành,WG17-3-X3
92,52000158,"Cm 0,97",1200,850,14.17,357.00,2347.97,long thành,WG17-3-X3
93,52000110,"Cm 1,00",1200,800,13.33,336.00,2325.23,long thành,WG17-3-X3
94,52000111,"Cm 1,04",1200,750,12.50,315.00,2358.70,long thành,WG17-3-X3
95,52000051,"Cc 1,04",1200,700,11.67,294.00,2209.97,long thành,WG17-3-X3
96,52000113,"Cm 1,20",1200,500,8.33,210.00,2082.21,long thành,WG17-3-X3
97,52000053,"Cc 1,20",1200,500,8.33,210.00,2096.22,long thành,WG17-3-X3
98,52000104,Cm 0.52,1800,900,15.00,382.48,714.62,long thành,WG17-5
99,52000105,Cm 0.60,1800,850,14.17,361.23,893.93,long thành,WG17-5
100,52000106,Cm 0.67,1800,800,13.33,339.98,1050.95,long thành,WG17-5
101,52000107,Cm 0.80,1800,700,11.67,290.51,1283.46,long thành,WG17-5
102,52000108,Cm 0.85,1800,700,11.67,283.50,1414.97,long thành,WG17-5
103,52000111,Cm 1.04,1800,550,9.17,222.75,1667.94,long thành,WG17-5
104,52000113,Cm 1.20,1800,350,5.83,141.75,1414.95,long thành,WG17-5
105,52000053,Cc 1.20,1800,450,7.50,182.25,1819.22,long thành,WG17-5
106,52000051,Cc 1.04,600,480,8.00,172.80,1306.44,Tân Á,LHT-1
107,52000108,Cm 0.85,600,600,10.00,216.00,1090.87,Tân Á,LHT-1
108,52000111,Cm 1.04,600,600,10.00,216.00,1633.05,Tân Á,LHT-1
